Date,Balance_Status,Regime,Feed_C2_mol%,Feed_C3_mol%,Feed_iC4_mol%,Feed_nC4_mol%,Feed_iC5_mol%,Feed_nC5_mol%,Feed_C6_mol%,LPG_C2_mol%,LPG_C3_mol%,LPG_iC4_mol%,LPG_nC4_mol%,LPG_iC5_mol%,LPG_nC5_mol%,LPG_C6+_mol%,PIC3000_barg,F_kmolh,D_kmolh,RD_ratio,LPG_TVP_kgcm2
2025-03-01,Complete,normal,0.4921,8.993,11.2287,26.1597,17.2938,14.6432,21.1894,2.948,33.0776,17.7428,41.2473,3.2331,1.4566,0.2946,17.8861,319.1723,52.6008,1.1763,7.8521
2025-03-02,Complete,normal,0.6654,10.0173,13.9934,27.8849,18.881,11.6174,16.9406,3.8979,33.1077,20.1308,38.0408,3.4422,1.3007,0.08,17.8753,299.2092,54.0274,1.1166,8.2623
2025-03-03,Complete,normal,0.2157,9.0489,12.0275,28.8437,18.0537,13.9821,17.8285,1.1056,32.5941,18.7506,42.5689,3.4613,1.5194,0.0001,17.51,326.4687,52.8203,1.2307,7.1286
2025-03-04,Complete,normal,0.3945,9.5369,10.6438,28.4009,14.753,18.313,17.958,2.3423,34.8492,17.042,42.074,2.5209,1.1307,0.041,17.4126,326.0597,49.1353,1.2235,7.8142
2025-03-05,Complete,normal,0.4855,10.3601,11.121,26.333,21.1144,12.0622,18.5239,2.634,37.3731,17.2064,38.5226,3.4483,0.7769,0.0387,17.7155,315.14,55.4866,1.234,8.1524
2025-03-06,Complete,normal,0.959,9.0044,10.4293,29.4149,22.1383,14.0982,13.9558,6.5794,31.5945,16.562,40.3508,4.0124,0.9008,0.0001,17.7929,322.1405,42.6827,1.2835,9.0905
2025-03-07,Complete,normal,0.8178,8.1057,14.0223,26.1244,17.5556,10.409,22.9652,5.4523,28.6071,21.5286,39.981,3.2588,0.7968,0.3754,17.7406,331.2383,47.0466,1.0962,8.4603
2025-03-08,Complete,normal,0.4304,6.8411,12.9151,28.2327,18.46,13.9632,19.1575,2.5255,26.0321,21.2231,45.2616,3.4966,1.3865,0.0746,17.854,286.7512,50.8133,1.3121,7.0966
2025-03-09,Complete,normal,0.6487,8.8131,10.3764,25.2575,18.9934,14.7762,21.1346,3.4577,34.3276,17.1271,40.6759,2.8906,1.5211,0.0001,17.8639,289.7501,54.2736,1.3218,8.1718
2025-03-10,Complete,normal,0.5831,8.2349,12.6806,27.472,18.4781,12.5983,19.953,3.4805,29.9924,20.2027,42.2615,3.2911,0.6655,0.1062,17.9502,321.2196,52.3392,1.2476,7.8338
2025-03-11,Complete,normal,0.2952,9.816,12.7447,28.0466,17.8015,11.2049,20.0911,1.9169,35.6267,19.2383,39.9803,2.2223,0.5537,0.4617,17.8563,347.7429,44.7543,1.3212,7.7708
2025-03-12,Complete,normal,0.3593,9.8156,11.0157,25.3365,21.6414,13.0242,18.8071,1.9736,36.8215,17.7134,38.3818,3.6649,1.3849,0.0598,17.3759,302.1939,55.5551,1.2563,7.8322
